areapermisoconcesion,codigodesesco,empresa_informante,participacion,geojson
FARO VIRGENES,FAR,PETROFARO S.A.,<br> PETROFARO S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4773462139959,-52.2681672452277],[-68.3748258945573,-52.3023004059929],[-68.3734771405661,-52.3022932594582],[-68.3207773889771,-52.3020020544587],[-68.3206432951058,-52.3021141607278],[-68.3168887676957,-52.306028836997],[-68.3133374410724,-52.3100344447831],[-68.3107213560872,-52.314207172286],[-68.3088206467078,-52.3185547815837],[-68.3081937745842,-52.3230266558506],[-68.3079327369634,-52.3275366154372],[-68.3084060437909,-52.3319879629329],[-68.308432669887,-52.3331025089852],[-68.3091253284199,-52.3366654188432],[-68.3108595302131,-52.3418621277174],[-68.3139007708588,-52.3467364895036],[-68.3191147624273,-52.3523840549579],[-68.3266556244403,-52.3579504794785],[-68.3325698392307,-52.3610076942831],[-68.3336779734272,-52.3615546929656],[-68.336783092544,-52.3635571091642],[-68.3409643536604,-52.3662466593116],[-68.3443868755795,-52.3687208391812],[-68.3474761922904,-52.3711149823989],[-68.3500535253021,-52.3734398153914],[-68.3527467773129,-52.3761706260043],[-68.3554014274816,-52.3791546838809],[-68.3585062482439,-52.3829715151855],[-68.3620351087382,-52.3871206398359],[-68.3656657777151,-52.3914378068601],[-68.3704828356694,-52.3967882033802],[-68.3771217445102,-52.4027686429432],[-68.3847900903739,-52.4082723646885],[-68.3924591216328,-52.4128164161465],[-68.3964986345376,-52.4149775926967],[-68.4096342395379,-52.4346099514391],[-68.4574294812136,-52.4348388884524],[-68.4309246643695,-52.3951474197497],[-68.4186788625196,-52.3867636485348],[-68.4188273166081,-52.3328278028851],[-68.5137435426332,-52.3298006377041],[-68.5322145179977,-52.3284718149257],[-68.5325602356546,-52.2938546924433],[-68.5330015750323,-52.2495778384554],[-68.4773462139959,-52.2681672452277]]]]}"
CAJON DE LOS CABALLOS,CAJ,ROCH S.A.,"<br> SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.: 25.00 %<br> PETROLERA EL TREBOL S.A.: 37.50 %<br> DESARROLLOS PETROLEROS y GANADEROS S.A.: 37.50 %","{""type"":""MultiPolygon"",""coordinates"":[[[[-69.461201572,-36.17113441],[-69.567122332,-36.170679535],[-69.566571457,-36.094080582],[-69.460753573,-36.094534189],[-69.461201572,-36.17113441]]]]}"
CHAÑARES HERRADOS,CHA,CHAÑARES ENERGIA S.A.,<br> Petrolera Aconcagua Energia S.A.: 50 %<br> CROWN POINT ENERGIA S.A.: 50 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.9463058295501,-33.3181246758431],[-68.9892497172603,-33.4100988940658],[-69.0333124953431,-33.3767357610717],[-68.9871133315312,-33.3181353852346],[-68.9463058295501,-33.3181246758431]]]]}"
CERRO BANDERA,CBA,OILSTONE ENERGIA S.A.,<br> OILSTONE ENERGIA S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.4596809502042,-38.8016414045305],[-69.4601468087658,-38.8740183817793],[-69.4486237498063,-38.8740632172134],[-69.4489355903649,-38.9236051993647],[-69.4950597034533,-38.9234187084652],[-69.4954358079453,-38.9774636668049],[-69.587752719855,-38.9770351969854],[-69.5873065430692,-38.9229910592143],[-69.7948536461905,-38.9217623674279],[-69.4596809502042,-38.8016414045305]]]]}"
ESTANCIA LA ESCONDIDA,ECH,COLHUE HUAPI S.A.,<br> PAN AMERICAN ENERGY SL: 25.00 %<br> COLHUE HUAPI S.A.: 75.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.222296692039,-45.5350899919864],[-68.2276262125969,-45.5498039222134],[-68.2975460520228,-45.6051065342339],[-68.3801307780744,-45.6438946419697],[-68.4437847071729,-45.6247117905662],[-68.5236667543294,-45.6261943524141],[-68.5715262907786,-45.6385947994725],[-68.66271690136,-45.647023290902],[-68.72001552713,-45.6746957157972],[-68.7532120613758,-45.6693471300958],[-68.7721607636677,-45.6754799839865],[-68.9732999167451,-45.6729979680242],[-68.9733122640963,-45.6467435945278],[-68.9617683770259,-45.6467409444545],[-68.9617825865938,-45.6256521415848],[-68.9489610303158,-45.6256465031908],[-68.948998161637,-45.5842601368333],[-68.6718768672666,-45.5838007461162],[-68.6721476066506,-45.5372687600405],[-68.222296692039,-45.5350899919864]]]]}"
LAGUNA DE LOS CAPONES,LDC,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,<br> COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.454676325,-50.6577442349999],[-69.45712391,-50.909434651],[-69.670378387,-50.908404956],[-69.6673242589999,-50.694476573],[-69.644681352,-50.694603994],[-69.644164389,-50.656850925],[-69.454676325,-50.6577442349999]],[[-69.654650569,-50.7543335889999],[-69.634771417,-50.768152292],[-69.599737213,-50.766458923],[-69.575440065,-50.7512814259999],[-69.594486251,-50.735751099],[-69.645037057,-50.735365563],[-69.654650569,-50.7543335889999]]]]}"
EL SOSNEADO,ESO,PETROQUIMICA COMODORO RIVADAVIA S.A.,<br> PETROQUIMICA COMODORO RIVADAVIA S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.3605071360805,-34.9465190113635],[-69.3610374229798,-35.0673017355637],[-69.6134188015815,-35.0662878983701],[-69.6222402227476,-35.0527334468526],[-69.6208443517875,-35.0465816262978],[-69.6255417403317,-35.0327522941488],[-69.6288963357647,-35.0237673262429],[-69.6447621562931,-35.0022352804937],[-69.6523191794038,-34.9887961425652],[-69.6618964619223,-34.9767291188547],[-69.6743079360493,-34.9686179479098],[-69.5577080816407,-34.9692094202132],[-69.5576282568558,-34.9457243947123],[-69.3605071360805,-34.9465190113635]]]]}"
CERRO MOLLAR OESTE,CMO,PETROLERA EL TREBOL S.A.,<br> PETROLERA EL TREBOL S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.818556,-35.425829],[-69.817275,-35.298755],[-69.724721,-35.299301],[-69.725364,-35.381286],[-69.747363,-35.381154],[-69.74779,-35.426255],[-69.818556,-35.425829]]]]}"
ATAMISQUI,ATA,PETROLERA EL TREBOL S.A.,<br> PETROLERA EL TREBOL S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.620959,-33.589089],[-68.620913,-33.59846],[-68.694722,-33.598668],[-68.694566,-33.651316],[-68.704452,-33.65134],[-68.70457,-33.616964],[-68.711851,-33.616981],[-68.711912,-33.598705],[-68.723525,-33.598731],[-68.723618,-33.571556],[-68.748195,-33.571608],[-68.759181,-33.524509],[-68.769769,-33.478046],[-68.791684,-33.384714],[-68.843526,-33.384866],[-68.8899,-33.3055],[-68.810105,-33.305401],[-68.814275,-33.28738],[-68.746861,-33.287258],[-68.746815,-33.300773],[-68.741476,-33.300766],[-68.740812,-33.517143],[-68.697766,-33.517069],[-68.697515,-33.589185],[-68.620959,-33.589089]]]]}"
REFUGIO TUPUNGATO,TUP,PETROLERA EL TREBOL S.A.,<br> PETROLERA EL TREBOL S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.104334,-33.25698],[-69.104295,-33.224522],[-69.080698,-33.224539],[-69.080743,-33.266023],[-69.048545,-33.26604],[-69.048542,-33.280457],[-69.063595,-33.313811],[-69.085072,-33.313798],[-69.085051,-33.292159],[-69.098871,-33.266926],[-69.104334,-33.25698]]]]}"
MEDANITO,NIT,PETROQUIMICA COMODORO RIVADAVIA S.A.,<br> PAMPETROL S.A.P.E.M: 20 %<br> PETROQUIMICA COMODORO RIVADAVIA S.A.: 80 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.3616172727845,-37.9115091363631],[-67.3560166167708,-38.1625561160733],[-67.5847060884941,-38.1655354405429],[-67.5856812564711,-38.0934694304543],[-67.7238714556295,-38.0950545641497],[-67.7324867457576,-38.073391437121],[-67.7391481426853,-38.0753441963061],[-67.7484177597412,-38.0568352488486],[-67.7573485890676,-38.0558879794322],[-67.7574847265231,-38.0512932713108],[-67.8111311644837,-38.038281504734],[-67.811519601565,-38.008461217109],[-67.7769882339489,-37.9958922694069],[-67.7303552019208,-37.9978532593143],[-67.8334053241832,-37.9250281174432],[-67.8378131711604,-37.9250890338891],[-67.8218012314943,-37.9186104698551],[-67.3616172727845,-37.9115091363631]],[[-67.7303552019208,-37.9978532593143],[-67.7322295842537,-38.0509463693814],[-67.6185374845297,-38.0498333244122],[-67.6189813986216,-38.0018542339771],[-67.7303552019208,-37.9978532593143]]]]}"
EL TRAPIAL - CURAMCHED,HUA,CHEVRON ARGENTINA S.R.L.,<br> CHEVRON ARGENTINA S.R.L.: 85 %<br> CORPORACION FINANCIERA INTERNACIONAL : 15 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.1816186112301,-37.3612654379765],[-69.1816957559257,-37.3932515609105],[-69.2529983633907,-37.3931205029544],[-69.2944189511466,-37.4273802875146],[-69.29447803831,-37.4424630502192],[-69.294741541287,-37.5095886242082],[-69.4030265090216,-37.5092687888251],[-69.4030085412829,-37.5059266942183],[-69.4613466974782,-37.5057132518829],[-69.461520016052,-37.5338576046121],[-69.5266205937941,-37.5335852383003],[-69.5258787681087,-37.4278115729376],[-69.564214915634,-37.4276348072622],[-69.6094046041315,-37.4274104740298],[-69.6088577812608,-37.3598378338663],[-69.5185590115202,-37.3602681794659],[-69.4432823369822,-37.3605742436659],[-69.4152776468626,-37.3606758799473],[-69.3063504964942,-37.3610081533349],[-69.1816186112301,-37.3612654379765]]]]}"
CERRO MANGRULLO,CRMG,TECPETROL S.A.,<br> TECPETROL S.A.: 74.62 %<br> ALIANZA PETROLERA ARGENTINA S.A.: 16.38 %<br> FOMICRUZ S.E.: 9.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.614000677,-46.2332331819999],[-67.6584084949999,-46.233769647],[-67.657794591,-46.25895238],[-67.767362611,-46.260244825],[-67.7681482519999,-46.215296305],[-67.6192060779999,-46.213499226],[-67.614000677,-46.2332331819999]]]]}"
RIO TUNUYAN,TUN,YPF S.A.,"<br> SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.: 30.00 %<br> YPF S.A.: 70.00 %","{""type"":""MultiPolygon"",""coordinates"":[[[[-68.7414915589999,-33.300902185],[-68.7468600409999,-33.300913033],[-68.7468915269999,-33.287419805],[-68.7468915969999,-33.287389606],[-68.704034989,-33.264755134],[-68.677202619,-33.264687834],[-68.677202447,-33.2647246339999],[-68.677033722,-33.3007345],[-68.677033547,-33.300771934],[-68.7414915589999,-33.300902185]]]]}"
BARRANCAS,BAR,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.882650794,-33.317388512],[-68.986258531,-33.317441381],[-68.960507846,-33.284978988],[-68.942839309,-33.2200416329999],[-68.82995292,-33.219938563],[-68.879295466,-33.006310835],[-68.787309324,-32.990853291],[-68.6470811409999,-33.170453305],[-68.6352136419999,-33.1856528389999],[-68.612996396,-33.214108015],[-68.61299637,-33.214113809],[-68.612770848,-33.264546319],[-68.677202447,-33.2647246339999],[-68.703996837,-33.264798788],[-68.746862092,-33.287419755],[-68.7468915269999,-33.287419805],[-68.8142651969999,-33.287535149],[-68.810098363,-33.305565037],[-68.889905829,-33.305666764],[-68.882650794,-33.317388512]]]]}"
CEFERINO,CEF,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.759129131,-33.5263411449999],[-68.8258709309999,-33.526452959],[-68.825969113,-33.477406102],[-68.8095447919999,-33.4773792629999],[-68.7689603709999,-33.4773129439999],[-68.768947783,-33.4773129229999],[-68.759129131,-33.5263411449999]]]]}"
VIZCACHERAS,VIZ,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.233386309,-33.695496944],[-68.5245913429999,-33.6969606979999],[-68.5259730289999,-33.4445239739999],[-68.5097357879999,-33.4444557649999],[-68.497474032,-33.444404256],[-68.4322571399999,-33.444130296],[-68.2415519049999,-33.68517588],[-68.2333986369999,-33.695481362],[-68.233386309,-33.695496944]]]]}"
MARIA INES OESTE,MIO,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,<br> COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-70.718898966,-50.993138248],[-70.716799999,-51.0695000009999],[-70.8418497119999,-51.0709002409999],[-70.8836312829999,-51.071338236],[-70.885453852,-50.994835925],[-70.862737739,-50.994627125],[-70.718898966,-50.993138248]]]]}"
LA VENTANA,LAV,YPF S.A.,"<br> SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.: 30 %<br> YPF S.A.: 70 %","{""type"":""MultiPolygon"",""coordinates"":[[[[-68.612052518,-33.43496386],[-68.612008782,-33.444823001],[-68.5259730289999,-33.4445239739999],[-68.5251856149999,-33.588774798],[-68.697544084,-33.5893161229999],[-68.697795328,-33.5171896639999],[-68.7408497919999,-33.517287219],[-68.7414915589999,-33.300902185],[-68.74149156,-33.300902],[-68.677033722,-33.3007345],[-68.612648717,-33.30056719],[-68.612648641,-33.3005843409999],[-68.612052518,-33.43496386]]]]}"
ZAMPAL,ZAMP,YPF S.A.,<br> YPF S.A.: 70 %<br> EQUITABLE RESOURCES ARG. CO.: 30 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.5097357879999,-33.4444557649999],[-68.612008782,-33.444823001],[-68.61200984,-33.4448229989999],[-68.612052518,-33.43496386],[-68.612154244,-33.411464156],[-68.497666179,-33.411053425],[-68.497474032,-33.444404256],[-68.497473989,-33.4444117369999],[-68.5097357879999,-33.4444557649999]]]]}"
CAÑADON DE LA ESCONDIDA - LAS HERAS,ESC,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.353380708,-46.335146316],[-68.353156945,-46.357645454],[-68.177764071,-46.3565088789999],[-68.17577844,-46.4833333509999],[-68.143225026,-46.48312019],[-68.142989208,-46.5002081379999],[-68.8881413399999,-46.503338925],[-68.888086813,-46.537534087],[-68.8639660979999,-46.537512432],[-68.863833347,-46.5905957849999],[-68.840988852,-46.590568129],[-68.840945458,-46.6094142159999],[-68.8604144939999,-46.6333053179999],[-68.872185964,-46.6333154719999],[-68.872162123,-46.671142333],[-68.8835702599999,-46.670124519],[-68.905479639,-46.674077599],[-68.9266333479999,-46.678637728],[-68.969229835,-46.6901499579999],[-69.002810745,-46.7055896209999],[-69.0028035139999,-46.504282925],[-69.002798699,-46.370255911],[-69.002727681,-46.3702558799999],[-68.880637792,-46.370202623],[-68.880638112,-46.370196065],[-68.884020388,-46.300935421],[-68.883913886,-46.3009422869999],[-68.353380708,-46.335146316]]]]}"
BARRANCA YANKOWSKY,BYK,YPF S.A.,<br> OIL M&S S.A.: 2 %<br> YPF S.A.: 98 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.1907503099999,-45.998670225],[-69.19114289,-46.045282556],[-69.191143471,-46.045351576],[-69.227422425,-46.0452851209999],[-69.227590154,-46.045284814],[-69.2278637429999,-46.1117898859999],[-69.2278640279999,-46.111859109],[-69.339464671,-46.111430777],[-69.6495394629999,-46.1102406859999],[-69.648232703,-45.998671579],[-69.5521649569999,-45.998673738],[-69.492922408,-45.998662657],[-69.1907503099999,-45.998670225]]]]}"
CAÑADON LEON - MESETA ESPINOSA,CLM,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.5182564409999,-46.5280179499999],[-67.5188452199999,-46.6026770089999],[-67.4860777229999,-46.602695997],[-67.48877762,-46.700716477],[-67.6566371929999,-46.702907792],[-67.656429197,-46.711449521],[-67.6821871779999,-46.711746376],[-67.6825299119999,-46.697340039],[-67.745660377,-46.698053198],[-67.745985902,-46.684557743],[-67.827599788,-46.6854051729999],[-67.827603693,-46.685405214],[-67.831343465,-46.6369040239999],[-67.8313428559999,-46.6369034209999],[-67.824927418,-46.630551141],[-67.8014251069999,-46.630291101],[-67.802006761,-46.605109721],[-67.8137157689999,-46.605247021],[-67.8143296969999,-46.57914011],[-67.77780202,-46.57876913],[-67.7782057479999,-46.560795094],[-67.8016785949999,-46.561027235],[-67.802040238,-46.543054379],[-67.659987762,-46.541461237],[-67.659811968,-46.548655942],[-67.6115634829999,-46.5489773259999],[-67.6116838089999,-46.545383972],[-67.5923109999999,-46.537037277],[-67.5182564409999,-46.5280179499999]]]]}"
