areapermisoconcesion,codigodesesco,empresa_informante,participacion,geojson
DOS HERMANAS,DHA,YPF S.A.,<br> OILSTONE ENERGIA S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.172589747,-39.104535633],[-69.097444597,-39.104622657],[-69.097494248,-39.140652724],[-69.062794119,-39.140676584],[-69.06276214,-39.104646486],[-69.032125945,-39.104658953],[-69.032146411,-39.149696577],[-69.04544984,-39.149692149],[-69.045474196,-39.187523469],[-69.230663748,-39.187304028],[-69.230490031,-39.134088309],[-69.172662109,-39.134188313],[-69.172589747,-39.104535633]]],[[[-68.744824079,-39.108887911],[-68.744681023,-39.148520618],[-68.852158849,-39.148706507],[-68.852175806,-39.140599759],[-68.961585261,-39.140687168],[-68.961604825,-39.104657057],[-68.941373362,-39.104648639],[-68.941377093,-39.100144852],[-68.83733649,-39.100046119],[-68.837315787,-39.109053667],[-68.744824079,-39.108887911]]]]}"
JAGÜEL DE BARA,JBA,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.735952498,-38.6294225349999],[-67.735319306,-38.6654468249999],[-67.745657692,-38.665558166],[-67.745343261,-38.683570297],[-67.821868246,-38.684366333],[-67.822753248,-38.630328241],[-67.735952498,-38.6294225349999]]]]}"
JAGÜEL DE LOS MILICOS,JMI,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.668910163,-38.4665372279999],[-67.6682472649999,-38.50256153],[-67.7301368719999,-38.5032490419999],[-67.730768984,-38.4672238589999],[-67.668910163,-38.4665372279999]]]]}"
AL NORTE DE LA DORSAL,NDD,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.001099755,-38.8091924129999],[-69.0011006669999,-38.868418484],[-69.118783902,-38.868600113],[-69.137778799,-38.853716183],[-69.1594512459999,-38.870605492],[-69.171814915,-38.860904439],[-69.180911669,-38.867997956],[-69.1813026259999,-38.867691072],[-69.203146154,-38.874789397],[-69.373683936,-38.8743491129999],[-69.373347339,-38.8085736149999],[-69.064729047,-38.809086641],[-69.0060611119999,-38.809184166],[-69.001099755,-38.8091924129999]]]]}"
OJO DE AGUA,ODA,YPF S.A.,<br> OILSTONE ENERGIA S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.744882616,-39.089228135],[-68.744964605,-39.066667298],[-68.711225478,-39.066589952],[-68.711133506,-39.089149408],[-68.744882616,-39.089228135]]]]}"
SARMIENTO,SAR,YPF S.A.,<br> CAPETROL ARGENTINA S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.002865893,-45.587511132],[-69.002870221,-45.77307629],[-69.114383586,-45.771559721],[-69.116624466,-45.851069533],[-69.198574815,-45.850953816],[-69.198826919,-45.922028917],[-69.38972437,-45.921539131],[-69.389526765,-45.908072311],[-69.380713877,-45.898538225],[-69.378604066,-45.888375145],[-69.365572241,-45.86808725],[-69.315415114,-45.836688309],[-69.29106131,-45.821424312],[-69.281728526,-45.807739852],[-69.246357628,-45.787612803],[-69.200935054,-45.774476828],[-69.189762225,-45.774497718],[-69.187387059,-45.585558028],[-69.002865893,-45.587511132]]]]}"
AL SUR DE LA DORSAL,SDD,YPF S.A.,<br> OILSTONE ENERGIA S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.172469088,-39.054994054],[-69.172662109,-39.134188313],[-69.230490031,-39.134088309],[-69.230663748,-39.187304028],[-69.045474196,-39.187523469],[-69.04544984,-39.149692149],[-69.032146411,-39.149696577],[-69.032125945,-39.104658953],[-68.961604825,-39.104657057],[-68.961585261,-39.140687168],[-68.94134349,-39.14067874],[-68.941287336,-39.208234615],[-69.045487553,-39.20824053],[-69.045502088,-39.230758958],[-69.30492566,-39.230368731],[-69.304168839,-39.054724938],[-69.172469088,-39.054994054]]],[[[-69.476887432,-39.141519406],[-69.47736228,-39.211775086],[-69.552868239,-39.260981195],[-69.722479716,-39.260052443],[-69.687825105,-39.237744283],[-69.653594533,-39.237941401],[-69.653386885,-39.215551075],[-69.558443066,-39.215918258],[-69.558532456,-39.154220105],[-69.539901096,-39.141244547],[-69.476887432,-39.141519406]]],[[[-68.941414349,-39.055106861],[-68.745018701,-39.054842847],[-68.744824079,-39.108887911],[-68.837315787,-39.109053667],[-68.83733649,-39.100046119],[-68.941377093,-39.100144852],[-68.941414349,-39.055106861]]],[[[-69.576180578,-38.977133707],[-69.494770051,-38.978527841],[-69.495119882,-38.923003634],[-69.448879128,-38.9236428],[-69.449396096,-39.009168148],[-69.477104974,-39.009056333],[-69.477339236,-39.037030343],[-69.576663064,-39.036581583],[-69.576180578,-38.977133707]]],[[[-69.062938736,-39.302809305],[-69.178872022,-39.30268891],[-69.178746086,-39.253149063],[-69.062894424,-39.253269247],[-69.062938736,-39.302809305]]],[[[-68.857468584,-39.148713121],[-68.744681023,-39.148520618],[-68.744648471,-39.157527999],[-68.78069781,-39.176517053],[-68.857412224,-39.176636176],[-68.857468584,-39.148713121]]],[[[-69.06276214,-39.104646486],[-69.062794119,-39.140676584],[-69.097494248,-39.140652724],[-69.097444597,-39.104622657],[-69.06276214,-39.104646486]]]]}"
CERRO MORADO ESTE,CEME,YPF S.A.,<br> ENERGIA MENDOCINA S.A.: 10.00 %<br> KILWER S.A.: 10.00 %<br> KETSAL S.A.: 10.00 %<br> YPF S.A.: 70.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.5726959789999,-37.413273616],[-68.572485334,-37.452905742],[-68.573384092,-37.452856174],[-68.577124767,-37.452676512],[-68.581280201,-37.451199161],[-68.585948397,-37.449556515],[-68.5894873459999,-37.448166193],[-68.591739863,-37.446315104],[-68.595781301,-37.4441374739999],[-68.6007572239999,-37.441362539],[-68.605532539,-37.4388419759999],[-68.613540101,-37.437010847],[-68.618528725,-37.4372420779999],[-68.6225055749999,-37.437914001],[-68.625892462,-37.4390940609999],[-68.628046786,-37.440568308],[-68.629787602,-37.4420504889999],[-68.632621596,-37.443522667],[-68.6351306339999,-37.444130214],[-68.639818351,-37.444344326],[-68.643449351,-37.4444201009999],[-68.6456973579999,-37.4445214959999],[-68.6509549749999,-37.4448464399999],[-68.6564143419999,-37.444609698],[-68.6603870389999,-37.444490598],[-68.6645135489999,-37.4445222529999],[-68.666314088,-37.444228439],[-68.671649649,-37.4430331619999],[-68.677359629,-37.4414417479999],[-68.68333004,-37.4404220879999],[-68.688936097,-37.4402138849999],[-68.6918207099999,-37.4403069329999],[-68.6931238299999,-37.439886993],[-68.695447294,-37.438354373],[-68.6963786059999,-37.437059532],[-68.6966008599999,-37.435492734],[-68.696229895,-37.433718009],[-68.6961060679999,-37.432370786],[-68.694786272,-37.4292091739999],[-68.694789987,-37.427892643],[-68.692904438,-37.425932436],[-68.6914989109999,-37.423737224],[-68.6902853,-37.421560472],[-68.6911658989999,-37.420104427],[-68.6931857769999,-37.418279938],[-68.69665495,-37.416512634],[-68.699308457,-37.414064122],[-68.7009271749999,-37.4128661739999],[-68.702755495,-37.4108741279999],[-68.7032144679999,-37.409483854],[-68.7041422199999,-37.407927948],[-68.708035186,-37.404019316],[-68.7101379699999,-37.4026386699999],[-68.7118438319999,-37.401206719],[-68.7131037199999,-37.3999500749999],[-68.7135114709999,-37.3979130779999],[-68.714493337,-37.395322482],[-68.715225038,-37.394215962],[-68.716416269,-37.3916932189999],[-68.716972987,-37.389991336],[-68.7181995459999,-37.3885930329999],[-68.720119256,-37.3876638469999],[-68.7210534769999,-37.387448224],[-68.722004923,-37.387120078],[-68.7220049479999,-37.387113541],[-68.7221567299999,-37.347673603],[-68.72215424,-37.347673594],[-68.649362778,-37.347409547],[-68.491364115,-37.346835007],[-68.4909169429999,-37.412949757],[-68.5726959789999,-37.413273616]]]]}"
PUESTO PRADO,PUPR,PRESIDENT PETROLEUM S.A.,<br> PRESIDENT PETROLEUM S.A.: 90.00 %<br> EDHIPSA: 10.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.3858438329265,-38.5525763366286],[-67.3866104375217,-38.592462894447],[-67.3742405640508,-38.5926088229388],[-67.3749059580435,-38.6274338946585],[-67.4074979501702,-38.6270462967491],[-67.4072427090837,-38.61398815413],[-67.4227267675263,-38.6138008811058],[-67.4226456504763,-38.6096943419203],[-67.4316094136435,-38.609585002346],[-67.4314624923001,-38.6021915409069],[-67.435720167052,-38.6021393739329],[-67.4389573172264,-38.600027827822],[-67.4557041641158,-38.5998206725859],[-67.4555737354395,-38.5933637561324],[-67.4820455388705,-38.593031461133],[-67.4817765525458,-38.5799466563131],[-67.4928588828311,-38.5798058026956],[-67.4923012905721,-38.5528562757964],[-67.3858438329265,-38.5525763366286]]]]}"
LAS BASES,LABA,PRESIDENT PETROLEUM S.A.,<br> EDHIPSA: 10.00 %<br> PRESIDENT PETROLEUM S.A.: 90.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.4971359928318,-38.4196489281555],[-67.4438399155796,-38.4189532117213],[-67.443514405965,-38.434117068348],[-67.4039157427173,-38.4335842775923],[-67.4035158681627,-38.4517405599788],[-67.3514679635756,-38.4510196202592],[-67.3512772164704,-38.4593991784293],[-67.2252817751338,-38.4575578363251],[-67.224432624466,-38.4921764884542],[-67.3142868353691,-38.4934928279316],[-67.3137421411868,-38.5174236643706],[-67.4490364177964,-38.51929418318],[-67.4495336205801,-38.4962121565657],[-67.4816205372579,-38.4966295553097],[-67.4823615921138,-38.4614992294059],[-67.4962641001081,-38.4616779957429],[-67.4971359928318,-38.4196489281555]]]]}"
CAMPO BOLEADORAS ,CABO,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,<br> COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-70.7446436745841,-50.8495865512268],[-70.7881555573157,-50.8500465418248],[-70.790234622233,-50.7695813294274],[-70.7467998634827,-50.7690301912466],[-70.7446436745841,-50.8495865512268]]]]}"
CAMPO INDIO ESTE - EL CERRITO ,CIEC,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,<br> COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-70.5893557644584,-50.6814970802857],[-70.5827480048158,-50.8274353851243],[-70.6538775328216,-50.8282848851467],[-70.6538393351431,-50.8299657754071],[-70.680713784455,-50.830251607754],[-70.7451419638798,-50.8309835053191],[-70.7456299304789,-50.8123893176554],[-70.7244041904342,-50.8121538700822],[-70.724647287255,-50.8024458857421],[-70.7038599448925,-50.8021805699045],[-70.7041196507133,-50.7908844801667],[-70.681830012977,-50.7905947421136],[-70.6824595713422,-50.7682109252784],[-70.7467998634642,-50.7690301912464],[-70.7902346222147,-50.7695813294272],[-70.792440880092,-50.6841167772676],[-70.6580564985912,-50.6823124444359],[-70.5893557644584,-50.6814970802857]]],[[[-71.3477679644765,-50.3708755989721],[-71.3470014552054,-50.4266987405294],[-71.2728438120936,-50.4262589172026],[-71.2719350912573,-50.4854964490208],[-71.0917422068881,-50.4842298620638],[-71.0901775637218,-50.5656655736527],[-71.098927215056,-50.5657335999625],[-71.0965289607207,-50.6910296255709],[-71.1941653798529,-50.6917470063983],[-71.2411439261214,-50.6921415448586],[-71.241303473851,-50.6822647626939],[-71.3663727523578,-50.6830117451236],[-71.3679508927287,-50.5654366851744],[-71.4229926954027,-50.5657223870876],[-71.423720953477,-50.5114282795325],[-71.4524131599646,-50.5115667687709],[-71.4530143349464,-50.4595188819993],[-71.4672165301358,-50.4595443550031],[-71.4674184723929,-50.4415666825872],[-71.5236051314154,-50.4418102719088],[-71.5243072245844,-50.3717315991346],[-71.3477679644765,-50.3708755989721]]]]}"
EL CERRITO OESTE,ECOE,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,<br> COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-71.2411439261229,-50.6921415448586],[-71.1941653798529,-50.6917470063982],[-71.0820960640992,-50.6909183763306],[-71.0817231087056,-50.7100182903631],[-71.0961618395914,-50.7101311276743],[-71.0955236191489,-50.7432885555026],[-71.2403010027032,-50.7443216422321],[-71.2411439261229,-50.6921415448586]]]]}"
ESTANCIA AGUA FRESCA,ESAF,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,<br> COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-70.5893422167923,-50.6817969934079],[-70.5022006097126,-50.6807088840371],[-70.5022269096129,-50.8267179051271],[-70.5827480048158,-50.8274353851243],[-70.5893422167923,-50.6817969934079]]]]}"
CAMPO INDIO,CAIN,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,<br> COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-70.7467998634643,-50.7690301912464],[-70.6824595713423,-50.7682109252783],[-70.681830012977,-50.7905947421136],[-70.7041196507134,-50.7908844801667],[-70.7038599448925,-50.8021805699045],[-70.7246472872551,-50.8024458857422],[-70.7244041904343,-50.8121538700822],[-70.7456299304788,-50.8123893176554],[-70.7467998634643,-50.7690301912464]]]]}"
LAGUNA DEL ORO,LAGO,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,<br> COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-70.6580533506283,-50.6824229044218],[-70.7924327532765,-50.6841166795252],[-70.7952036973942,-50.575932996856],[-70.66112580089,-50.5744687501955],[-70.6580533506283,-50.6824229044218]]]]}"
EL PORVENIR,POR,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),<br> GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA): 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.011201054,-38.969358755],[-68.82241422,-38.969224176],[-68.822367705,-38.9878442679999],[-68.760754157,-38.987734205],[-68.7605279219999,-39.054829136],[-68.961785525,-39.055068728],[-68.961773132,-39.078049963],[-68.9787776649999,-39.078054298],[-68.978769708,-39.104604244],[-69.0321182119999,-39.1046017529999],[-69.0320654399999,-38.987975068],[-69.011203988,-38.9879789359999],[-69.011201054,-38.969358755]]]]}"
AGUADA BAGUALES,BAG,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),<br> GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA): 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.768977997,-38.7891080009999],[-68.7687219969999,-38.8683780009999],[-69.001083997,-38.868407001],[-69.000897997,-38.809153001],[-69.006078997,-38.809154002],[-69.006077997,-38.789336001],[-68.768977997,-38.7891080009999]]]]}"
PUESTO TOUQUET,PTO,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),<br> GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA): 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.032055488,-38.969490067],[-69.032112965,-39.093292747],[-69.1087534659999,-39.0932464489999],[-69.108681441,-39.046298736],[-69.1724385109999,-39.046221901],[-69.172252011,-38.9693673469999],[-69.032055488,-38.969490067]]]]}"
PAMPA DEL CASTILLO - LA GUITARRA,PAM,CAPEX S.A.,<br> CAPEX SA Y PETROMINERA CHUBUT SE UTE - PAMPA DEL CASTILLO LA GUITARRA: 100.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.0241355739999,-45.860492444],[-68.0866796399999,-45.8610095009999],[-68.085267618,-45.730540293],[-67.9756721109999,-45.7296102009999],[-67.973693068,-45.8375579259999],[-68.0241355739999,-45.860492444]]]]}"
